"","Acss1","Adcyap1","Adgrl2","Aqp4","Arc","Arf5","Arhgap24","Arl4d","Arx","Batf3","Bcl6","Bdnf","Bgn","Btg2","Calb2","Car12","Car4","Cbln4","Cck","Cdh13","Cdk6","Chat","Chodl","Chrna6","Col6a1","Cplx3","Cpne5","Crh","Crispld2","Csrnp1","Ctgf","Ctxn3","Cux2","Cxcl14","Ddit4l","Deptor","Egr1","Egr2","Egr4","Enpp2","eRNA1","eRNA2","eRNA3","eRNA4","eRNA5","Fam19a1","Flt1","Fos","Fosb","Fosl1","Fosl2","Foxp2","Frmd7","Frmpd3","Gad1","Gad2","Gda","Gpc3","Gpr3","Gpx3","Homer1","Hsd11b1","Htr3a","Igf1","Igtp","Itgam","Junb","Kcna1","Kcnip2","Kcnk2","Lhx6","Lmo2","Mab21l1","Mdga1","Mgp","Mog","Mybpc1","Myh8","Myl4","Mylk","Myo1c","Ndnf","Nectin3","Nectin4","Ngb","Nos1","Nov","Npas4","Nptx2","Npy","Nr4a2","Nrn1","Obox3","Osgin2","Otof","Parm1","Pax6","Pcdhac1","Pcdhac2","Pcdhgc3","Pcdhgc4","Pcdhgc5","Pcp4","Pde1a","Pde1c","Pdgfra","Pdzrn3","Penk","Plcxd2","Pnoc","Ppm1h","Prok2","Prss22","Ptgs2","Pthlh","Pvalb","Qrfpr","Rasgrf2","Reln","Rerg","Rgs10","Rgs12","Rgs2","Rorb","Rprm","Rspo2","Scnn1a","Sema3c","Sema3e","Serpinb11","Serpine1","Sla","Slc17a7","Slc25a36","Slc5a7","Smad3","Sncg","Spp1","Sst","Stac","Sulf2","Synpr","Syt17","Syt6","Tacr1","Tacr3","Tacstd2","Tbr1","Tcerg1l","Th","Thsd7a","Tnfaip6","Tnfaip8l3","Tnmd","Tpbg","Tph2","Ucma","Vgf","Vip","Wt1","Wfs1","Tnnc1","Sccpdh","Rbp4","Etv1","Drd1"
"3521x3696",3,0,6,0,3,1,0,4,7,0,10,0,0,0,0,0,0,0,6,3,0,0,0,0,10,0,9,0,5,0,0,0,15,0,0,1,26,0,6,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,3,0,0,1,0,0,0,0,3,1,0,0,0,0,0,8,0,0,0,12,0,4,0,0,2,0,0,2,0,0,0,0,2,0,7,1,0,0,0,0,0,0,0,8,9,0,5,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,2,10,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,16,0,3,0,0,0
"3546x6184",2,0,6,1,3,0,0,0,22,10,13,1,2,5,0,0,0,0,5,0,0,0,0,0,0,11,8,0,0,0,0,0,2,0,0,0,11,0,0,14,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,21,0,3,0,0,28,0,0,16,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,46,0,3,4,0,0,0,0,0,0,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,23,0,9,0,0,0
"3541x2110",0,0,28,0,2,3,0,14,26,0,8,0,0,0,0,0,0,0,3,11,0,0,0,0,4,13,0,0,1,0,0,0,4,0,0,0,0,0,1,2,0,2,17,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,4,0,0,0,5,0,0,0,0,0,14,0,4,9,33,0,4,0,0,7,0,9,33,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,8,27,4,0,0,0,0,0,0,0,0,2,2,0,0,5,0,0,0,0,0,0,80,0,0,33,0,0,0,0,0,3,18,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,1,0,6,0,0,4,0,0
"3543x4744",0,0,1,0,3,1,0,0,31,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,11,6,0,0,0,0,11,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,15,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,11,0,0
"3573x4973",1,0,9,0,1,0,0,0,18,0,12,0,0,3,0,0,0,0,5,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,43,0,0,5,1,0,11,0,0,3,0,1,6,0,0,0,0,0,0,0,19,0,0,0,32,0,0,0,0,0,0,1,0,0,0,0,0,2,6,0,4,0,0,0,0,0,6,0,0,12,10,0,0,0,0,0,0,0,4,0,0,0,2,0,0,4,0,7,0,0,0,0,0,0,46,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,36,0,0,0,0,0
"3572x1917",0,0,14,0,6,3,5,2,1,0,7,13,0,5,0,0,1,0,13,3,0,2,0,0,11,14,0,0,1,5,0,0,1,0,0,0,60,8,13,0,0,3,30,0,5,0,0,19,2,0,0,0,0,0,0,0,14,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,2,6,0,0,12,0,1,4,0,1,4,0,0,0,5,0,14,4,0,0,0,0,0,6,11,0,12,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,17,111,0,0,3,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,8,0,0,1,0,0
"3591x2599",0,8,5,0,0,4,4,36,17,0,14,1,0,2,0,0,0,0,10,7,0,0,0,0,46,12,9,0,0,0,0,0,30,6,0,0,0,0,0,1,0,0,24,0,1,1,0,1,4,3,0,0,4,0,0,1,10,0,0,0,0,3,4,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,3,15,20,29,0,0,0,0,0,0,2,27,0,0,4,0,17,0,7,0,12,0,0,0,9,9,0,24,3,0,1,6,0,0,0,0,0,0,0,40,0,0,0,1,0,0,0,0,12,76,0,0,1,0,0,1,0,0,2,19,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,3,0,0
"3598x997",0,0,0,1,0,1,0,0,9,0,15,0,1,1,55,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,6,0,1,0,0,0,2,0,0,0,0,5,1,0,2,1,0,0,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,9,0,1,0,0,0,0,0,6,0,0,8,0,0,0,3,0,0,7,10,0,0,24,2,5,0,3,0,0,0,0,0,1,0,2,2,0,3,0,0,0,0,0,0,27,1,0,3,0,0,2,0,0,3,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,382,0,0,0,0,0,4,0
"3587x1792",0,2,1,0,0,1,0,0,5,0,0,6,0,0,0,0,0,0,7,2,0,0,0,0,0,11,0,0,0,0,0,0,13,0,0,0,18,1,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,2,0,7,0,0,0,0,2,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,10,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,81,2,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,4,0,11,0
"3621x3884",0,0,1,0,0,1,0,28,11,6,0,0,0,0,0,0,0,0,3,1,0,0,0,0,18,0,0,0,0,0,0,0,4,1,0,0,4,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,16,8,0,0,0,0,1,0,1,13,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,6,21,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,14,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"3612x4320",3,0,23,0,5,2,0,0,22,2,3,3,0,0,0,0,0,0,6,1,0,0,0,0,14,0,11,0,0,0,0,0,5,12,0,0,13,4,11,0,0,0,17,0,0,0,0,9,8,0,0,0,0,0,0,0,14,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,15,6,0,1,0,0,24,0,0,2,2,1,9,0,1,0,12,0,2,0,0,4,0,0,0,14,0,0,4,2,0,0,0,0,0,4,0,10,0,0,9,0,0,0,0,0,1,98,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0
"3638x1640",0,0,2,0,8,1,0,4,9,0,1,13,0,0,0,0,0,0,11,0,0,0,0,0,0,1,12,0,0,0,0,0,6,0,0,0,17,0,0,0,0,0,13,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,2,0,0,23,0,7,0,2,0,1,0,10,0,5,0,16,0,0,1,0,0,0,4,18,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,92,8,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0
"3665x3543",0,0,23,6,1,0,0,0,9,0,0,0,0,3,0,0,0,0,5,7,0,3,19,4,0,0,1,0,0,0,0,0,5,17,0,0,0,0,0,7,1,1,2,0,0,19,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,2,0,0,0,0,6,0,0,4,0,2,6,17,0,0,0,0,0,0,0,7,2,0,0,0,8,0,6,0,15,0,0,0,0,0,0,13,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,35,0,11,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,12,0,0,0,5,0,0,0,15,0,0,1,5,0
"3672x3705",0,0,12,5,5,1,0,28,1,0,5,0,3,0,0,0,1,0,3,6,0,0,0,0,5,1,2,0,0,0,0,0,1,2,0,0,46,4,0,6,0,1,19,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,26,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,9,1,0,7,8,0,0,0,0,2,0,0,17,0,0,0,0,3,0,7,0,15,0,1,0,0,0,0,6,0,9,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,37,0,0,3,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,7,1,0
"3662x1282",0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,5,0,0,0,2,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
"3662x4119",15,4,4,0,0,1,1,0,5,0,0,0,2,0,0,0,0,0,8,7,0,7,0,0,16,0,0,0,0,2,0,0,19,0,0,9,40,1,12,8,0,1,11,0,0,0,0,21,14,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,6,0,12,0,0,0,0,0,0,0,13,0,0,0,0,27,0,0,1,1,0,1,2,4,0,17,0,29,0,0,0,3,0,0,53,19,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,3,0,0,18,86,13,0,0,0,0,0,0,8,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,7,0,4,0
"3690x3439",1,0,8,0,0,1,0,0,9,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,5,0,3,2,0,0,5,0,0,6,0,26,11,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,0,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"3689x1991",0,0,0,3,0,0,0,0,6,0,5,17,0,0,0,0,0,0,2,0,0,0,0,0,4,3,0,0,0,0,0,0,0,14,4,0,42,2,12,0,0,2,8,0,0,6,0,9,8,0,0,0,0,0,0,0,1,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,1,4,5,0,6,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,8,2,0
"3687x2908",0,0,6,0,0,0,0,0,41,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,26,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,1,0,26,3,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"3680x4808",0,0,6,0,3,0,0,0,16,0,5,0,0,0,0,0,0,0,3,1,0,0,4,0,1,0,0,0,0,0,0,0,27,0,0,0,3,0,0,4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,41,0,0,3,0,1,0,0,0,0,0,0,4,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,32,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,2,0,0,11,0,2
"3710x1762",7,4,2,0,1,0,0,4,13,0,3,0,1,0,0,0,0,0,12,3,0,1,0,0,0,1,11,0,0,0,0,0,22,0,0,1,7,0,0,0,0,0,17,0,0,9,0,0,2,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,2,0,0,2,0,1,0,0,0,0,0,4,0,18,0,0,0,0,3,0,7,0,0,0,0,0,1,0,0,0,10,0,0,1,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,40,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0
"3720x2151",0,0,2,0,0,1,0,0,27,0,2,0,0,0,0,0,0,0,5,2,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,12,0,0,0,0,0,0,0,31,0,0,0,9,0,0,0,0,1,0,7,1,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,7,18,0,0,0,0,5,0,0,36,0,1,0,0,15,0,19,0,4,0,0,0,0,0,0,5,1,0,0,3,1,0,0,0,0,2,3,1,5,0,0,0,0,0,0,0,0,41,2,2,6,0,0,0,0,0,1,12,0,0,0,0,10,0,0,0,0,4,0,0,0,12,0,2,0,10,0,0,1,0,0
"3696x4553",0,0,0,0,7,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,15,0,0,0,3,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,10,0,0,0,0,8,1,3,4,0,0,6,0,0,0,2,0,6,0,0,0,0,0,0,20,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,8,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,9,0,0,0,0,4
"3711x4679",0,0,18,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,0,8,0,0,0,10,7,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,1,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,2,8,2,17,0,0,0,0,1,0,0,8,0,0,6,0,1,0,9,0,2,0,0,0,2,0,0,3,8,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,15,1,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,6,0,0,1,0,0
"3753x6514",0,6,4,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,11,0,0,0,0,0,0,10,8,0,0,0,2,0,1,3,0,0,35,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,3,0,1,0,1,0,26,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,4,2,0,0,5,14,0,0,0,0,1,0,2,0,0,0,0,0,0,14,0,0,0,4,0
"3719x2629",0,0,1,6,1,1,0,0,5,0,5,7,0,0,0,0,0,0,7,3,0,0,0,0,0,0,6,0,4,9,0,0,2,10,0,0,9,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,1,0,0,15,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,7,11,0,0,0,0,0,0,0,12,0,0,0,1,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3733x4309",3,0,0,0,0,1,0,1,2,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,6,0,0,2,15,0,2,0,0,29,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,1,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0
"3766x5297",0,1,18,0,14,2,0,9,64,0,16,4,1,0,0,0,0,0,22,0,0,1,0,0,0,10,1,0,0,0,0,0,22,5,0,0,29,13,2,8,0,2,11,0,0,21,0,24,4,0,0,0,0,0,0,0,3,3,2,0,13,0,1,0,0,0,0,4,0,0,0,0,0,7,2,0,4,0,1,0,3,0,1,5,0,0,19,0,3,0,0,7,0,4,28,0,0,0,4,0,10,9,0,7,0,0,13,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,1,130,0,0,11,0,0,0,0,1,1,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,4,10,15,8,3,0,0
"3761x1123",0,6,21,1,2,2,0,0,29,0,5,0,0,0,12,0,0,0,5,6,0,18,0,0,1,0,0,0,0,0,0,0,26,23,2,13,3,0,0,6,0,0,18,0,0,3,0,12,2,0,0,0,2,0,6,0,8,0,0,0,10,0,2,9,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,13,0,0,0,0,9,0,0,0,3,0,0,3,6,0,0,0,14,0,0,0,3,0,0,5,0,0,0,2,0,0,0,0,0,0,4,5,0,0,1,0,0,0,0,0,0,54,0,0,25,0,0,0,2,0,1,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,68,0,9,0,6,0,0,0
"3727x6042",0,0,0,6,3,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,19,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
"3814x5458",0,0,14,0,5,0,0,1,4,0,2,0,0,5,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5,10,0,0,2,0,11,2,0,0,8,0,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,5,0,0,0,6,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,4,10,1,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,44,5,0,7,0,0,0,0,0,0,0,10,0,0,20,0,1,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"3795x3235",0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,13,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,2,0,5,0,0,0,0,1,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,1,4,0,0,4,0,0,6,0,0,0,0,0,0,2,0,0,0,15,0,0,2,0,0,0,75,0,0,0,0,0,0,0,0,5,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,2,0,0
"3805x5811",0,3,1,0,1,2,0,0,11,0,14,3,2,3,1,0,0,0,13,2,0,5,0,0,0,0,0,0,5,0,3,0,0,0,0,0,93,19,18,0,0,0,40,0,0,8,0,34,4,0,0,0,0,0,0,0,10,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,4,0,1,0,3,7,0,1,0,1,0,4,2,11,0,4,0,18,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,107,0,0,13,0,0,0,0,1,1,7,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,9,1
"3795x751",0,0,5,0,0,1,0,0,16,0,4,0,1,2,0,0,0,0,6,0,0,0,21,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,6,0,15,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,1,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,3,0
"3800x2317",0,0,0,0,3,0,0,0,5,13,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,21,0,0,0,0,0,0,7,3,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,8,3,0,0,0,0,1,0,0,0,0,0,12,0,10,1,2,6,3,0,0,1,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,4,0,0,18,0,0
"3799x4039",0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,45,0,0,0,0,0,23,0,0,1,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0
"3833x4772",0,0,18,0,2,0,0,0,12,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,13,4,0,0,0,0,0,11,4,0,0,5,0,0,0,0,0,20,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,1,1,1,0,2,16,2,0,0,21,0,1,9,2,0,0,0,0,0,5,0,16,0,0,2,2,0,0,9,5,0,0,1,0,0,0,0,0,0,0,17,0,0,12,0,0,0,0,0,13,32,0,0,4,0,0,0,0,4,4,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,6,0,4,0
"3831x1304",0,0,34,0,1,5,2,0,52,0,16,1,0,0,5,0,0,0,12,9,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,14,27,0,0,0,0,0,9,0,0,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,20,5,0,2,0,0,23,0,3,22,7,0,0,0,2,0,3,0,2,0,0,0,0,0,0,27,12,2,10,8,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,131,2,0,28,0,0,2,2,0,3,3,0,0,2,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,14,0,0,0
