"","c"
"11860x5467","eL6-2"
"11903x4682","eL6-2"
"11972x6125","Astro"
"11957x5748","eL6-1"
"11964x2086","SST"
"11980x1106","Oligo"
"11964x3998","Astro"
"11988x2555","Oligo"
"12008x5119","Smc"
"12034x1300","Smc"
"12008x5628","Lhx6"
"12028x6403","Oligo"
"12048x3810","Oligo"
"12052x2289","Smc"
"12088x4372","Smc"
"12111x1018","Oligo"
"12146x4182","Oligo"
"12202x5767","eL6-2"
"12148x6557","eL6-1"
"12179x6408","Astro"
"12203x2263","Oligo"
"12139x4587","Astro"
"12214x5199","NPY"
"12285x3492","Oligo"
"12274x5332","NPY"
"12271x5994","eL6-2"
